Twitter ID;User Name;Sex;SID 1;SID 2;SID 3;SID 4;SID 5;;;0;1;2;3;4;5;TASK
@marco_ssl;Marco_SSL;M;3;3;1;1;;;;0;0,5;0;0,5;0;0;T2P3
@Mutaz53214;Mutaz;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@predieridanilo;predieri danilo;M;2;4;2;4;;;;0;0;0,5;0;0,5;0;T2P3
@Loredan83532601;Loredana;F;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@FbCataldo;Giuseppe Cataldo 🇮🇹 #Bibbiano #iostoconicurdi;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@cozz_maria;Maria Cozzolino;F;1;3;1;3;;;;0;0,5;0;0,5;0;0;T2P3
@FilippoRossi89;F.R.;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@vikingur8;viking;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@Oscarh79Novello;giuseppe novello;M;1;3;1;3;;;;0;0,5;0;0,5;0;0;T2P3
@ArturoCiccarel1;Arturo Ciccarelli;M;5;5;5;5;;;;0;0;0;0;0;1;T2P3
@PetrosinoAndrea;andrea petrosino;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@gabry11261;gabriella;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@maudibi70;Mauro;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@PiazzeseAndrea;Andrea 🖤 🇮🇹;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@RobertoChinell3;Robyyyyy;M;3;1;1;3;;;;0;0,5;0;0,5;0;0;T2P3
@LCeles3;Lav;F;3;3;1;1;;;;0;0,5;0;0,5;0;0;T2P3
@BosioFabrizio;Fabrizio #Noallojussóla 🇮🇹;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@AlessandroPilly;Alex;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@Chele59Fabio;Fabio;M;0;0;0;0;;;;1;0;0;0;0;0;T2P3
@piroddi5291;bruno piroddi;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@FBurigo;Fabio Burigo;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@lella2018;lella2018;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@andreabortoluzz;Andrea Bortoluzzi;M;2;2;2;2;;;;0;0;1;0;0;0;T2P3
@Giocampo4;Giocampo;M;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@DavideDauria92;Davide D'Auria;M;2;2;4;4;;;;0;0;0,5;0;0,5;0;T2P3
@Ardito96427323;Ardito;M;3;3;1;1;;;;0;0,5;0;0,5;0;0;T2P3
@itmgr89;Tony Scarp;M;3;1;3;1;;;;0;0,5;0;0,5;0;0;T2P3
@cosentino201154;Francesco;M;1;1;3;1;;;;0;0,75;0;0,25;0;0;T2P3
@_Fumagalli;Marco;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@Gfbrt;Gianfranco Berrutti;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@angelopelloni;Angelo Pelloni;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@ssiga74;Simone Gambaro;M;1;1;1;3;;;;0;0,75;0;0,25;0;0;T2P3
@nicolacarmosino;Nicola Carmosino;M;3;1;1;1;;;;0;0,75;0;0,25;0;0;T2P3
@benstar2791;Benstar;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@giusyalma32;Giusy;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@AntonellaTabur3;Antonella Taburchi;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@annacapra84;Anna Capra;F;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@SereNere76;Serena Sartini;F;3;3;3;1;;;;0;0,25;0;0,75;0;0;T2P3
@CARMINE59936645;CARMINE;M;0;0;0;0;;against Salvini;;1;0;0;0;0;0;T2P3
@cecilia99520701;cecilia del lago;F;2;2;2;2;;;;0;0;1;0;0;0;T2P3
@Zen81;Daniele Sabatini;M;2;2;2;2;;;;0;0;1;0;0;0;T2P3
@fabietto2006;fabrizio mattioli;M;1;3;3;1;;;;0;0,5;0;0,5;0;0;T2P3
@Saverio82307776;Saverio;M;1;1;1;3;;;;0;0,75;0;0,25;0;0;T2P3
@capdkez;Alex;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@AlfredoPascale;Alfredo Pascale;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
