,twitter_id,sex,partito
0,@marco_ssl,M,1
1,@Mutaz53214,M,1
2,@predieridanilo,M,-1
3,@Loredan83532601,F,1
4,@FbCataldo,M,1
5,@cozz_maria,F,1
6,@FilippoRossi89,M,1
7,@vikingur8,M,1
8,@Oscarh79Novello,M,1
9,@ArturoCiccarel1,M,1
10,@PetrosinoAndrea,M,1
11,@gabry11261,F,1
12,@maudibi70,M,1
13,@PiazzeseAndrea,M,1
14,@RobertoChinell3,M,1
15,@LCeles3,F,1
16,@BosioFabrizio,M,1
17,@AlessandroPilly,M,1
18,@Chele59Fabio,M,1
19,@piroddi5291,M,1
20,@FBurigo,M,1
21,@lella2018,F,1
22,@andreabortoluzz,M,-1
23,@Giocampo4,M,1
24,@DavideDauria92,M,-1
25,@Ardito96427323,M,1
26,@itmgr89,M,1
27,@cosentino201154,M,1
28,@_Fumagalli,M,1
29,@Gfbrt,M,1
30,@angelopelloni,M,1
31,@ssiga74,M,1
32,@nicolacarmosino,M,1
33,@benstar2791,M,1
34,@giusyalma32,F,1
35,@AntonellaTabur3,F,1
36,@annacapra84,F,1
37,@SereNere76,F,1
38,@CARMINE59936645,M,1
39,@cecilia99520701,F,-1
40,@Zen81,M,-1
41,@fabietto2006,M,1
42,@Saverio82307776,M,1
43,@capdkez,M,1
44,@AlfredoPascale,M,1
45,@NemoRsm,M,1
46,@manumanu978,M,1
47,@AnnaritaPonteco,F,1
48,@Ale_Cuccu86,M,1
49,@StefanoOrsini,M,1
50,@MBattistina,F,1
51,@faustomag,M,1
52,@harley_men,M,1
53,@Gabbiacane,M,1
54,@ACalienni,M,1
55,@dudiski,M,1
56,@elisabettaiac,F,1
57,@lindoscorpion,F,1
58,@MissDaniChanel,F,1
59,@Frances94022625,M,1
60,@Irema64603951,F,1
61,@ematomassini,M,1
62,@agofin,M,1
63,@franco_jack,M,1
64,@lauraleghista,F,1
65,@gianluca_crotti,M,1
66,@bersagiudice,F,1
67,@cecily5911,F,1
68,@GiuseppeCadoni7,M,1
69,@maxmasera,M,1
70,@DorisD89660819,M,1
71,@GiuseppeCollet5,M,1
72,@Silvi93546770,M,1
73,@DovahCris,M,1
74,@giorgio_cabibbo,M,1
75,@Delorenzoanna1,F,1
76,@angeloiannie99,M,1
77,@DomenicoPantano,M,1
78,@EmanueleDurin,M,1
79,@TerryUrbani,M,1
80,@Tiozzo92,F,1
81,@LegendeZurbaine,M,1
82,@giuliana1655,F,1
83,@matteov91,M,-1
84,@IStraniero,M,1
85,@marco72839376,M,1
86,@LelloMartorel,M,1
87,@AgostinoPastore,M,1
88,@AJDiaz08805426,M,1
89,@soltantounuomo,M,1
90,@magnagiova,F,1
91,@RondinaStefania,F,1
92,@CPTBALDO1,M,1
93,@nickkr1969,M,1
94,@alessan03604374,M,1
95,@Gianfra12854586,M,1
96,@Eliwhinnie,F,1
97,@manuxcecco,M,1
98,@loghos33,M,1
99,@PanciroliMatteo,M,-1
100,@PietroMitis,M,1
101,@FlavioGraz22,M,1
102,@Luciano001122,M,1
103,@perlucit,M,1
104,@0e48b952e3154d3,F,1
105,@micheal60509043,M,1
106,@Massi7671,M,1
107,@Lsandro65,M,1
108,@albertodemartin,M,1
109,@etitti,M,1
110,@FrancesBalducci,M,-1
111,@danipreve1,M,1
112,@ubaldo50457805,M,1
113,@Antonel63382299,F,1
114,@christian_vit85,M,1
115,@Rosario26272013,M,1
116,@martamotta10,F,1
117,@mario_diba,M,1
118,@RobertoInnoce17,M,1
119,@mariacaroleo,F,1
120,@ValerioLatini,M,1
121,@Alessan03452738,M,1
122,@rnorega,M,1
123,@CItalia85,M,1
124,@megreliano1,F,1
125,@luca_moraglia,M,1
126,@AlessandraGhil3,F,1
127,@elisa79rossi,M,1
128,@DarioPocetti,M,1
129,@domenicofino1,M,1
130,@MancariPippo,M,1
131,@GerardoGarg,M,1
132,@MementoFabiano,M,1
133,@GuglielmoFacco,M,1
134,@dezi_ale,M,1
135,@Mario10496024,M,1
136,@Fabrizi88635872,M,1
137,@lucia_capellaro,F,1
138,@Frances02172542,F,1
139,@Frencesco10,M,1
140,@PaoloPolimeno11,M,1
141,@furiopatri,M,1
142,@gaia32140307,F,1
143,@AntonioLuca3,M,1
144,@DenisBeppyno,M,1
145,@iasco79,M,1
146,@dagno74,M,1
147,@Nicola86492086,M,1
148,@fabioaltavilla1,M,1
149,@isi_restivo,M,1
150,@MiRisulta,M,-1
151,@ZulliMatteo,M,1
152,@AlSamengo,M,1
153,@LucaRus47787242,M,-1
154,@2mbarbara66,F,1
155,@Lucrezi06860184,F,1
156,@AlbertoVincenz3,M,1
157,@2_scaglia,M,1
158,@MarcoBracony,M,1
159,@samaris62_salvo,M,1
160,@seeyoulater1165,M,1
161,@Angy18508694,F,1
162,@Lylia89892771,F,1
163,@26304f7d95f84d8,M,1
164,@DjCalletti1,M,1
165,@JZaghet,F,1
166,@lorenzobianchi9,M,1
167,@dgiumanini,M,1
168,@GranelliTiziana,F,1
169,@Giu_Lauricella,M,1
170,@ErikaCarozzo,F,1
171,@FurgiuelePaolo,M,1
172,@Emanuel96642522,M,1
173,@ale111169,M,1
174,@cristia14505589,M,1
175,@smrossi61_rossi,F,1
176,@StefanoBozza6,M,1
177,@HarlanDraka,M,1
178,@Antonin92413762,M,1
179,@luciaalu1970,F,1
180,@maddog75,M,1
181,@pistoleropio,M,1
182,@ValeriaDalLago,F,1
183,@LuigiPetraroli,M,1
184,@LucianoTiramani,M,1
185,@SilviaGaiaMM,F,1
186,@bardofula,F,1
187,@NinoPalmisano3,M,1
188,@PiergiZek,M,1
189,@mrprof63,M,1
190,@Stefano83007060,M,1
191,@evilgenius58,M,1
192,@depalmag1949,M,1
193,@mariapi74057427,F,1
194,@M_Liverani,M,1
195,@DaniloGinestra,M,1
196,@johnnypizzulli,M,1
197,@Leonard86353088,M,1
198,@Alessan20341293,M,1
199,@MSembianti,F,1
200,@rosario_contini,M,1
201,@MirtilloKyani,M,1
202,@PEINTRE56,M,1
203,@MicheleCenedese,M,1
204,@GabrieleScimone,M,1
205,@ivonecarr66,M,1
206,@SamueleUttini,M,1
207,@DavideMonti_72,M,1
208,@VendraminA,M,1
209,@stefanozauli,M,1
210,@lucianoit,M,1
211,@CarloCofrances1,M,1
212,@Gius54559171,M,1
213,@corrado74440496,M,1
214,@AttilioGigli,M,1
215,@88Nzi,M,1
216,@MariaGr58193037,F,1
217,@Bellavita62,M,1
218,@aniaRosaspina,F,1
219,@Nicolgentilcor4,M,1
220,@federomantica,F,1
221,@PierozziDaniela,F,1
222,@TjGianfranco,M,1
223,@Andrea__AD,M,1
224,@Maria32595924,F,1
225,@ValerioOreste,M,1
226,@thetopover60,M,1
227,@Deborah95757878,F,1
228,@KriptonDi,M,1
229,@gdegradi,M,1
230,@roccosmile81,M,1
231,@amive,F,1
232,@mariani1956lia2,F,1
233,@FabriFormicola,M,1
234,@Luigi_Godi,M,1
235,@ananiasas,M,1
236,@ElisaBertarelli,F,1
237,@cri19631,F,1
238,@AndySantopietro,M,1
239,@ROBERTOCERVA,M,1
240,@marino_coni,M,1
241,@curatolo_simona,F,1
242,@elba_uribe,F,1
243,@AntonioComigna1,M,1
244,@AlessandraCecc,F,1
245,@luciolibonati,M,1
246,@sguglielm0,M,1
247,@MarcoGrandolini,M,1
248,@Monica83574402,F,1
249,@Avvocata2,F,1
250,@SRainbowtie,M,1
251,@AntonioTolomeo5,M,1
252,@AndreaMarini_99,M,1
253,@GiovanniBrino,M,1
254,@Giangaetano9,M,1
255,@monica_goracci,F,1
256,@ag_boretti,M,1
257,@Massimi33485395,M,1
258,@giovanni_chiuri,M,1
259,@M_decimoMeridio,M,1
260,@PPetroni2,M,1
261,@EleonoraBrill,F,1
262,@cmcesare,M,1
263,@Damians91,M,1
264,@BADU____,M,1
265,@actarus4175,M,1
266,@viaggiatore01,M,1
267,@cabba33,M,1
268,@TucciOreste,M,1
269,@Roberta29517253,F,1
270,@fotovoltaico_Sr,M,1
271,@cocchiscarano,M,1
272,@angelagrassini,F,1
273,@gianfrancomusi2,M,1
