,twitter_id,sex,partito
0,@predieridanilo,M,-1
1,@andreabortoluzz,M,-1
2,@DavideDauria92,M,-1
3,@cecilia99520701,F,-1
4,@Zen81,M,-1
5,@matteov91,M,-1
6,@PanciroliMatteo,M,-1
7,@FrancesBalducci,M,-1
8,@MiRisulta,M,-1
9,@LucaRus47787242,M,-1
10,@flamibonni,F,-1
11,@MarcoHarald,M,-1
12,@SamueleTizian,M,-1
13,@DavidePietro94,M,-1
14,@AMAZZO1,M,-1
15,@CorrenteChiara,F,-1
16,@sam_tantillo,M,-1
17,@GabrieleLalli,M,-1
18,@DussichPier,M,-1
19,@webmp,M,-1
20,@TorelliFabio,M,-1
21,@rosamarialena,F,-1
22,@abonardo,M,-1
23,ANTONELLAEVANGE,F,-1
24,mariniscocco,M,-1
25,BaldoniPa,F,-1
26,GaiaGre85,F,-1
27,silvana83570218,F,-1
28,pompilielvira,F,-1
29,TorelliFabio,M,-1
30,paolobruno1523,M,-1
31,ginoliba1,M,-1
32,luigiaureli,M,-1
33,curzio59,M,-1
34,BugliLorenzo,M,-1
35,1Zolesi,M,-1
36,giopar14,M,-1
37,Giu_Lauricella,M,-1
38,carusof77,M,-1
39,DottVicidomini,F,-1
40,VanessaCaos,F,-1
41,SindacatoAGL,-,-1
42,Carola_20_06,F,-1
43,giovannimontag3,M,-1
44,DigenovaF,M,-1
45,redcristian68,M,-1
46,stefaniascatta1,F,-1
47,GiancarloPasse2,M,-1
48,GiannaPentenero,F,-1
49,GIOVANNI932,M,-1
50,Giangaetano9,M,-1
51,rananera,M,-1
52,RStrones,U,-1
53,MarcoHarald,M,-1
54,MaxGag51,M,-1
55,AlessandroP_93,M,-1
56,giampca,M,-1
57,mattiapatrini_,M,-1
58,AngeloBramato,M,-1
59,RoPagD,M,-1
60,nico_camarda,M,-1
61,gvmacca,M,-1
62,giootta2000,M,-1
63,VitaDelNumero4,M,-1
64,kabornat,M,-1
65,fran_colino,M,-1
66,RossiniLoris,M,-1
67,Ludovica_Gioia,F,-1
68,MicheleMagni3,M,-1
69,erridisalvo,M,-1
70,ofyeb,M,-1
71,samueldemaria,M,-1
72,poliofrancesco,M,-1
73,LUDOVICOpapalia,M,-1
74,LuigiTorretta,M,-1
75,BoyoBrescia,M,-1
76,ALigioi,F,-1
77,AndreaSerri17,M,-1
78,IlNanoBrontolo,M,-1
79,EnricoPani1,M,-1
